,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-03-22,2.064128256513026,0.4408817635270541,3.6472945891783564,37.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-23,1.6432865731462925,0.24048096192384769,3.12625250501002,42.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-24,1.5430861723446894,0.4408817635270541,2.5851703406813624,46.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-25,1.5430861723446894,0.6613226452905812,2.3847695390781563,51.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-26,1.56312625250501,0.721442885771543,2.344689378757515,58.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-27,1.7434869739478958,0.9619238476953907,2.4849699398797593,70.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-28,1.8436873747494988,1.122244488977956,2.5250501002004007,83.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-29,1.8837675350701402,1.222444889779559,2.50501002004008,97.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-30,1.723446893787575,1.122244488977956,2.3246492985971945,108.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-31,1.6032064128256511,1.0220440881763526,2.164328657314629,119.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-01,1.4629258517034067,0.9218436873747494,2.004008016032064,128.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-02,1.3226452905811623,0.781563126252505,1.8436873747494988,131.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-03,1.2424849699398797,0.721442885771543,1.7434869739478958,137.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-04,1.2424849699398797,0.721442885771543,1.723446893787575,147.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-05,1.3827655310621243,0.9018036072144289,1.8637274549098195,163.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-06,1.56312625250501,1.1022044088176353,2.024048096192385,189.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-07,1.723446893787575,1.282565130260521,2.1442885771543083,221.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-08,1.783567134268537,1.3827655310621243,2.1843687374749496,257.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-09,1.6833667334669338,1.3026052104208417,2.0440881763527052,282.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-10,1.5831663326653307,1.2424849699398797,1.9238476953907815,312.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-11,1.4629258517034067,1.122244488977956,1.783567134268537,335.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-12,1.4028056112224447,1.0821643286573146,1.723446893787575,358.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-13,1.282565130260521,0.9619238476953907,1.5831663326653307,368.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-14,1.1823647294589177,0.8817635270541082,1.503006012024048,375.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-15,1.122244488977956,0.8216432865731462,1.4228456913827654,384.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-16,1.1623246492985972,0.8617234468937875,1.4629258517034067,405.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-17,1.222444889779559,0.9218436873747494,1.5230460921843687,427.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-18,1.3226452905811623,1.0420841683366733,1.6032064128256511,461.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-19,1.4028056112224447,1.122244488977956,1.6633266533066131,509.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-20,1.4228456913827654,1.1623246492985972,1.6833667334669338,544.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-21,1.4228456913827654,1.1823647294589177,1.6833667334669338,591.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-22,1.4629258517034067,1.222444889779559,1.7034068136272544,664.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-23,1.56312625250501,1.3226452905811623,1.783567134268537,748.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-24,1.6232464929859718,1.4028056112224447,1.8236472945891782,843.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-25,1.5430861723446894,1.342685370741483,1.7434869739478958,914.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-26,1.4028056112224447,1.2024048096192383,1.6032064128256511,951.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-27,1.282565130260521,1.0821643286573146,1.4629258517034067,990.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-28,1.2024048096192383,1.0220440881763526,1.3827655310621243,1027.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-29,1.122244488977956,0.9418837675350701,1.3026052104208417,1021.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-30,1.122244488977956,0.9218436873747494,1.3026052104208417,1057.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-01,1.1422845691382766,0.9619238476953907,1.3226452905811623,1110.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-02,1.2625250501002003,1.0821643286573146,1.442885771543086,1187.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-03,1.3226452905811623,1.1623246492985972,1.503006012024048,1273.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-04,1.342685370741483,1.1623246492985972,1.503006012024048,1349.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-05,1.222444889779559,1.062124248496994,1.3827655310621243,1348.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-06,1.1623246492985972,1.002004008016032,1.3226452905811623,1396.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-07,1.122244488977956,0.9819639278557114,1.282565130260521,1453.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-08,1.2024048096192383,1.062124248496994,1.3627254509018036,1519.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-09,1.2625250501002003,1.1022044088176353,1.4028056112224447,1618.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-10,1.2424849699398797,1.1022044088176353,1.4028056112224447,1678.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-11,1.1823647294589177,1.0420841683366733,1.3226452905811623,1687.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-12,1.1422845691382766,1.002004008016032,1.282565130260521,1759.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-13,1.0821643286573146,0.9418837675350701,1.222444889779559,1768.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-14,1.122244488977956,0.9819639278557114,1.2625250501002003,1811.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-15,1.1422845691382766,1.002004008016032,1.2625250501002003,1897.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-16,1.1823647294589177,1.062124248496994,1.3226452905811623,1972.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-17,1.222444889779559,1.1022044088176353,1.3627254509018036,2071.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-18,1.2625250501002003,1.122244488977956,1.3827655310621243,2198.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-19,1.2424849699398797,1.122244488977956,1.3827655310621243,2281.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-20,1.2024048096192383,1.0821643286573146,1.3226452905811623,2332.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-21,1.1623246492985972,1.0420841683366733,1.282565130260521,2404.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-22,1.1623246492985972,1.0420841683366733,1.282565130260521,2496.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-23,1.2424849699398797,1.122244488977956,1.342685370741483,2665.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-24,1.2625250501002003,1.1422845691382766,1.3627254509018036,2783.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-25,1.2024048096192383,1.1022044088176353,1.3226452905811623,2819.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-26,1.1422845691382766,1.0420841683366733,1.2625250501002003,2904.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
