,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-03-19,2.344689378757515,0.7414829659318637,3.8276553106212425,43.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-20,1.7635270541082164,0.3607214428857715,3.12625250501002,50.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-21,1.9038076152304608,0.9018036072144289,2.845691382765531,61.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-22,1.9238476953907815,1.1422845691382766,2.6452905811623246,73.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-23,1.8236472945891782,1.122244488977956,2.50501002004008,82.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-24,1.783567134268537,1.122244488977956,2.4048096192384767,96.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-25,1.7635270541082164,1.1623246492985972,2.344689378757515,113.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-26,1.7034068136272544,1.122244488977956,2.244488977955912,124.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-27,1.6032064128256511,1.0821643286573146,2.124248496993988,138.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-28,1.56312625250501,1.062124248496994,2.0440881763527052,156.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-29,1.6032064128256511,1.122244488977956,2.064128256513026,175.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-30,1.5230460921843687,1.062124248496994,1.9639278557114228,188.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-31,1.442885771543086,1.0220440881763526,1.8637274549098195,203.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-01,1.3627254509018036,0.9418837675350701,1.7635270541082164,216.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-02,1.442885771543086,1.0420841683366733,1.8236472945891782,242.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-03,1.5430861723446894,1.1623246492985972,1.9238476953907815,276.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-04,1.4829659318637274,1.122244488977956,1.8436873747494988,288.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-05,1.503006012024048,1.1422845691382766,1.8436873747494988,323.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-06,1.3827655310621243,1.0420841683366733,1.7034068136272544,343.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-07,1.4028056112224447,1.0821643286573146,1.723446893787575,365.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-08,1.2625250501002003,0.9418837675350701,1.56312625250501,377.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-09,1.1422845691382766,0.8416833667334669,1.442885771543086,375.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-10,1.0220440881763526,0.721442885771543,1.3226452905811623,372.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-11,1.0420841683366733,0.7414829659318637,1.342685370741483,386.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-12,0.9819639278557114,0.6813627254509018,1.282565130260521,371.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-13,0.9619238476953907,0.6412825651302605,1.2625250501002003,363.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-14,0.781563126252505,0.48096192384769537,1.1022044088176353,341.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-15,0.8216432865731462,0.501002004008016,1.1422845691382766,336.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-16,0.8216432865731462,0.501002004008016,1.1422845691382766,328.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-17,0.9819639278557114,0.6412825651302605,1.282565130260521,336.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-18,1.0220440881763526,0.7014028056112224,1.342685370741483,340.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-19,1.222444889779559,0.9018036072144289,1.5230460921843687,372.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-20,1.2424849699398797,0.9418837675350701,1.5430861723446894,387.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-21,1.222444889779559,0.9218436873747494,1.5230460921843687,389.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-22,1.0220440881763526,0.721442885771543,1.3226452905811623,377.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-23,0.9218436873747494,0.6012024048096192,1.2024048096192383,368.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-24,0.8216432865731462,0.5210420841683366,1.122244488977956,352.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-25,0.8617234468937875,0.561122244488978,1.1823647294589177,350.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-26,0.8216432865731462,0.501002004008016,1.1422845691382766,334.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-27,0.9218436873747494,0.6012024048096192,1.2424849699398797,337.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-28,0.9619238476953907,0.6412825651302605,1.282565130260521,342.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-29,1.0821643286573146,0.7615230460921844,1.4028056112224447,350.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-30,1.002004008016032,0.6813627254509018,1.3226452905811623,338.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-01,0.8817635270541082,0.561122244488978,1.2024048096192383,319.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-02,0.7414829659318637,0.42084168336673344,1.0821643286573146,303.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-03,0.7615230460921844,0.42084168336673344,1.1022044088176353,296.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-04,0.8617234468937875,0.5210420841683366,1.2024048096192383,295.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-05,1.002004008016032,0.6613226452905812,1.342685370741483,305.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-06,1.0420841683366733,0.6813627254509018,1.3627254509018036,302.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-07,1.122244488977956,0.781563126252505,1.442885771543086,316.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
