,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-03-12,0.9018036072144289,0.06012024048096192,2.0841683366733466,63.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-13,2.785571142284569,1.6633266533066131,3.8276553106212425,89.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-14,2.284569138276553,1.5430861723446894,3.006012024048096,106.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-15,2.124248496993988,1.5430861723446894,2.665330661322645,125.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-16,2.004008016032064,1.4629258517034067,2.50501002004008,157.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-17,2.024048096192385,1.5430861723446894,2.4849699398797593,190.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-18,1.9839679358717435,1.56312625250501,2.4048096192384767,224.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-19,1.9639278557114228,1.56312625250501,2.344689378757515,273.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-20,1.8436873747494988,1.4829659318637274,2.2044088176352705,311.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-21,1.9038076152304608,1.5831663326653307,2.224448897795591,378.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-22,1.8236472945891782,1.5230460921843687,2.124248496993988,440.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-23,1.7434869739478958,1.4629258517034067,2.024048096192385,486.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-24,1.6633266533066131,1.3827655310621243,1.9238476953907815,554.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-25,1.6032064128256511,1.342685370741483,1.8436873747494988,622.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-26,1.6432865731462925,1.4028056112224447,1.8637274549098195,703.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-27,1.6232464929859718,1.4028056112224447,1.8436873747494988,794.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-28,1.6032064128256511,1.4028056112224447,1.8036072144288577,884.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-29,1.56312625250501,1.3627254509018036,1.7635270541082164,973.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-30,1.442885771543086,1.2424849699398797,1.6232464929859718,1029.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-31,1.2625250501002003,1.0821643286573146,1.442885771543086,1036.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-01,1.122244488977956,0.9218436873747494,1.3026052104208417,1040.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-02,1.002004008016032,0.8216432865731462,1.1823647294589177,1031.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-03,0.9619238476953907,0.7615230460921844,1.1422845691382766,1010.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-04,0.9018036072144289,0.721442885771543,1.0821643286573146,986.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-05,0.9619238476953907,0.7615230460921844,1.1422845691382766,1004.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-06,1.0220440881763526,0.8416833667334669,1.2024048096192383,1022.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-07,1.0420841683366733,0.8617234468937875,1.2424849699398797,1016.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-08,1.002004008016032,0.8016032064128256,1.1823647294589177,1001.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-09,0.9819639278557114,0.781563126252505,1.1623246492985972,1007.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-10,1.0420841683366733,0.8617234468937875,1.222444889779559,1043.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-11,1.1623246492985972,0.9819639278557114,1.342685370741483,1099.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-12,1.1823647294589177,1.002004008016032,1.3627254509018036,1122.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-13,1.1623246492985972,0.9819639278557114,1.342685370741483,1145.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-14,1.0821643286573146,0.9018036072144289,1.2625250501002003,1152.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-15,0.9819639278557114,0.8016032064128256,1.1422845691382766,1104.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-16,0.8617234468937875,0.6813627254509018,1.0420841683366733,1053.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
