,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0
2020-05-10,4.5490981963927855,0.32064128256513025,9.298597194388778,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-11,2.4849699398797593,0.12024048096192384,6.993987975951904,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-12,1.5430861723446894,0.06012024048096192,4.949899799599198,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-13,1.4629258517034067,0.06012024048096192,4.609218436873747,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-14,1.5430861723446894,0.06012024048096192,4.949899799599198,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-15,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-16,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-17,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-18,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-19,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-20,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-21,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-22,2.845691382765531,0.18036072144288576,6.793587174348697,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-23,2.50501002004008,0.16032064128256512,6.092184368737475,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-24,2.8056112224448895,0.22044088176352705,6.072144288577154,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-25,2.004008016032064,0.12024048096192384,4.909819639278557,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-26,1.9038076152304608,0.12024048096192384,4.669338677354709,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-27,1.5230460921843687,0.08016032064128256,4.148296593186372,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-28,1.282565130260521,0.06012024048096192,3.8276553106212425,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-29,1.5831663326653307,0.08016032064128256,4.328657314629258,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-30,1.5831663326653307,0.08016032064128256,4.328657314629258,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-05-31,1.9038076152304608,0.12024048096192384,4.669338677354709,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-01,1.5230460921843687,0.08016032064128256,4.148296593186372,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-02,1.5230460921843687,0.08016032064128256,4.148296593186372,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-03,1.282565130260521,0.06012024048096192,3.8276553106212425,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-04,1.1022044088176353,0.04008016032064128,3.627254509018036,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-05,1.1422845691382766,0.04008016032064128,3.947895791583166,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-06,1.222444889779559,0.04008016032064128,4.38877755511022,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-07,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-08,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-09,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-10,3.6072144288577155,0.32064128256513025,7.454909819639278,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-11,3.9078156312625247,0.6613226452905812,6.993987975951904,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-12,3.2064128256513023,0.5811623246492986,5.7114228456913825,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-13,2.284569138276553,0.280561122244489,4.468937875751503,7.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-14,1.8236472945891782,0.18036072144288576,3.847695390781563,8.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-15,1.5430861723446894,0.12024048096192384,3.44689378757515,8.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-16,1.2024048096192383,0.06012024048096192,3.0260521042084165,7.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-17,0.9418837675350701,0.04008016032064128,2.7054108216432864,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-18,0.9619238476953907,0.04008016032064128,2.785571142284569,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-19,1.1022044088176353,0.06012024048096192,3.0260521042084165,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-20,1.2625250501002003,0.06012024048096192,3.2665330661322645,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-21,1.2625250501002003,0.06012024048096192,3.2665330661322645,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-22,1.2625250501002003,0.06012024048096192,3.2665330661322645,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-23,1.2625250501002003,0.06012024048096192,3.2665330661322645,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-24,1.2625250501002003,0.06012024048096192,3.2665330661322645,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-25,1.2625250501002003,0.06012024048096192,3.2665330661322645,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-26,1.2625250501002003,0.06012024048096192,3.2665330661322645,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-27,2.244488977955912,0.3406813627254509,4.208416833667335,11.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-28,2.164328657314629,0.3807615230460922,3.947895791583166,12.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-29,2.224448897795591,0.561122244488978,3.8276553106212425,14.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-06-30,1.5230460921843687,0.2004008016032064,3.0260521042084165,15.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-07-01,1.282565130260521,0.12024048096192384,2.7054108216432864,14.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-07-02,1.0821643286573146,0.08016032064128256,2.4849699398797593,14.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
2020-07-03,1.0821643286573146,0.08016032064128256,2.4849699398797593,15.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0
