,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0,hl12.0
2020-04-15,1.8236472945891782,0.06012024048096192,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-16,4.5490981963927855,0.32064128256513025,9.298597194388778,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-17,2.845691382765531,0.18036072144288576,6.793587174348697,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-18,1.8236472945891782,0.08016032064128256,5.090180360721443,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-19,1.4629258517034067,0.06012024048096192,4.609218436873747,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-20,1.9639278557114228,0.1002004008016032,5.511022044088176,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-21,2.50501002004008,0.16032064128256512,6.092184368737475,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-22,2.284569138276553,0.1402805611222445,5.591182364729459,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-23,2.124248496993988,0.12024048096192384,5.210420841683367,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-24,2.004008016032064,0.12024048096192384,4.909819639278557,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-25,1.9038076152304608,0.12024048096192384,4.669338677354709,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-26,1.8236472945891782,0.1002004008016032,4.468937875751503,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-27,1.4829659318637274,0.08016032064128256,3.9879759519038074,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-28,1.2424849699398797,0.06012024048096192,3.7074148296593186,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-29,1.0821643286573146,0.04008016032064128,3.527054108216433,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-30,1.122244488977956,0.04008016032064128,3.7675350701402803,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-01,1.4629258517034067,0.06012024048096192,4.609218436873747,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-02,1.5430861723446894,0.06012024048096192,4.949899799599198,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-03,1.6432865731462925,0.06012024048096192,5.410821643286573,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-04,1.8236472945891782,0.06012024048096192,6.092184368737475,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-05,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-06,,,,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-07,,,,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-08,2.284569138276553,0.1402805611222445,5.591182364729459,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-09,1.723446893787575,0.08016032064128256,4.789579158316633,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-10,1.4028056112224447,0.06012024048096192,4.348697394789579,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-11,1.4629258517034067,0.06012024048096192,4.609218436873747,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-12,1.222444889779559,0.04008016032064128,4.38877755511022,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-13,1.8236472945891782,0.06012024048096192,6.092184368737475,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-14,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-15,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-16,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-17,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-18,1.6432865731462925,0.06012024048096192,5.410821643286573,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-19,1.8236472945891782,0.06012024048096192,6.092184368737475,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-20,2.1042084168336674,0.08016032064128256,7.354709418837675,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-21,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-22,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-23,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-24,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-25,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-26,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-27,1.6432865731462925,0.06012024048096192,5.410821643286573,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-28,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-29,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-30,,,,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-31,1.8236472945891782,0.06012024048096192,6.092184368737475,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-01,2.1042084168336674,0.08016032064128256,7.354709418837675,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-02,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-03,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-04,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-05,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-06,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-07,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-08,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-09,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-10,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-11,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-12,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-13,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-14,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-15,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-16,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-17,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-18,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-19,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-20,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-21,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-22,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-23,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-24,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-25,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-26,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-27,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-28,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-29,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-30,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-01,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-02,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-03,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-04,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-05,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-06,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-07,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-08,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-09,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-10,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-11,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-12,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-13,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-14,2.845691382765531,0.18036072144288576,6.793587174348697,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-15,2.50501002004008,0.16032064128256512,6.092184368737475,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-16,2.284569138276553,0.1402805611222445,5.591182364729459,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-17,2.124248496993988,0.12024048096192384,5.210420841683367,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-18,2.4048096192384767,0.18036072144288576,5.31062124248497,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-19,2.845691382765531,0.3807615230460922,5.410821643286573,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-20,2.6252505010020037,0.42084168336673344,4.849699398797595,8.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-21,2.6452905811623246,0.6212424849699398,4.569138276553106,11.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-22,2.4048096192384767,0.6012024048096192,4.0881763527054105,14.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-23,2.685370741482966,1.122244488977956,4.128256513026052,21.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-24,2.444889779559118,1.0821643286573146,3.6873747494989977,26.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-25,2.0440881763527052,0.8416833667334669,3.186372745490982,28.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-26,1.503006012024048,0.4008016032064128,2.5851703406813624,29.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-27,1.2424849699398797,0.22044088176352705,2.284569138276553,30.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-28,1.342685370741483,0.3006012024048096,2.344689378757515,34.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-29,1.3627254509018036,0.3607214428857715,2.344689378757515,36.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-30,1.2024048096192383,0.24048096192384769,2.164328657314629,34.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-07-31,1.1823647294589177,0.2605210420841683,2.1442885771543083,38.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-08-01,1.1823647294589177,0.2605210420841683,2.1042084168336674,40.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-08-02,1.3827655310621243,0.4408817635270541,2.284569138276553,43.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-08-03,1.1623246492985972,0.280561122244489,2.0440881763527052,42.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-08-04,0.9619238476953907,0.1402805611222445,1.8436873747494988,39.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-08-05,0.8416833667334669,0.1002004008016032,1.723446893787575,39.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
