,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0,hl12.0
2020-04-22,1.8236472945891782,0.06012024048096192,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-23,4.5490981963927855,0.32064128256513025,9.298597194388778,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-24,2.845691382765531,0.18036072144288576,6.793587174348697,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-25,2.284569138276553,0.1402805611222445,5.591182364729459,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-26,1.723446893787575,0.08016032064128256,4.789579158316633,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-27,1.4028056112224447,0.06012024048096192,4.348697394789579,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-28,1.4629258517034067,0.06012024048096192,4.609218436873747,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-29,1.222444889779559,0.04008016032064128,4.38877755511022,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-30,1.8236472945891782,0.06012024048096192,6.092184368737475,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-01,2.1042084168336674,0.08016032064128256,7.354709418837675,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-02,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-03,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-04,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-05,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-06,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-07,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-08,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-09,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-10,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-11,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-12,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-13,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
